ChatGPT,0.10,0.19,0.20,0.05,0.12,0.34,0.38,0.21,0.28,0.24,0.21,0.09,0.08
GPT-4,0.17,0.17,0.21,0.06,0.13,0.21,0.27,0.28,0.35,0.56,0.47,0.05,0.06
LlaMA-2-7B-chat,0.07,0.04,0,0,0,0.13,0.24,0.10,0.25,0.04,0.07,0.17,0.12
Lince-Zero,0,0,0,0,0,0.14,0.27,0.10,0.27,0.36,0.32,0.34,0.43
FinMA-7B-full,0.05,0.03,0.01,0,0,0.21,0.35,0.16,0.26,0.07,0.04,0.03,0.02
FinMA-7B-nlp,0.06,0.04,0,0,0,0.13,0.22,0.15,0.25,0.03,0.02,0.02,0.01
FinMA-7B-trade,0.08,0.06,0,0,0,0.22,0.27,0.25,0.25,0.02,0.01,0.06,0.03
FinMA-30B-nlp,0.03,0.02,0,0,0,0.30,0.38,0.33,0.39,0.01,0.01,0.6,0.03
Falcon-7B,0.05,0.03,0,0,0,0.11,0.27,0.10,0.25,0.10,0.06,0.18,0.15
Bloomz-7B,0,0,0,0,0,0.38,0.38,0.5,0.5,0.32,0.22,0.04,0.03
